PostCode;Municipality
1451;Landsmeer
1452;Waterland
1454;Waterland
1456;Wormerland
1458;Wormerland
1461;Beemster
1462;Beemster
1463;Beemster
1464;Beemster
1471;Zeevang
1472;Zeevang
1473;Zeevang
1474;Zeevang
1475;Zeevang
1476;Zeevang
1477;Zeevang
1481;Edam-Volendam
1482;Waterland
1483;Graft-DeRijp
1484;Graft-DeRijp
1485;Graft-DeRijp
1486;Graft-DeRijp
1487;Graft-DeRijp
1488;Graft-DeRijp
1489;Castricum
1501;Zaanstad
1502;Zaanstad
1503;Zaanstad
1504;Zaanstad
1505;Zaanstad
1506;Zaanstad
1507;Zaanstad
1508;Zaanstad
1509;Zaanstad
1511;Oostzaan
1521;Zaanstad
1525;Zaanstad
1531;Wormerland
1534;Wormerland
1536;Graft-DeRijp
1541;Zaanstad
1544;Zaanstad
1546;Wormerland
1551;Zaanstad
1561;Zaanstad
1562;Zaanstad
1566;Zaanstad
1567;Zaanstad
1601;Enkhuizen
1602;Enkhuizen
1606;Drechterland
1607;Drechterland
1608;Drechterland
1609;Drechterland
1611;StedeBroec
1613;StedeBroec
1614;StedeBroec
1616;Drechterland
1617;Drechterland
1619;Medemblik
1621;Hoorn
1622;Hoorn
1623;Hoorn
1624;Hoorn
1625;Hoorn
1627;Hoorn
1628;Hoorn
1631;Koggenland
1633;Koggenland
1634;Koggenland
1636;Schermer
1641;Koggenland
1642;Koggenland
1643;Koggenland
1645;Koggenland
1646;Schermer
1647;Koggenland
1648;Koggenland
1652;Koggenland
1654;Medemblik
1655;Medemblik
1657;Medemblik
1658;Medemblik
1661;Opmeer
1662;Opmeer
1663;Opmeer
1671;Medemblik
1674;Medemblik
1676;Medemblik
1678;Medemblik
1679;Medemblik
1681;Medemblik
1682;Medemblik
1683;Medemblik
1684;Medemblik
1685;Medemblik
1686;Medemblik
1687;Medemblik
1688;Medemblik
1689;Hoorn
1691;Medemblik
1692;Medemblik
1693;Medemblik
1695;Hoorn
1696;Drechterland
1697;Drechterland
1701;Heerhugowaard
1702;Heerhugowaard
1703;Heerhugowaard
1704;Heerhugowaard
1705;Heerhugowaard
1711;Koggenland
1713;Koggenland
1715;Opmeer
1716;Opmeer
1718;Opmeer
1719;Opmeer
1721;Langedijk
1722;Langedijk
1723;Langedijk
1724;Langedijk
1731;HollandsKroon
1732;HollandsKroon
1733;HollandsKroon
1734;HollandsKroon
1735;HollandsKroon
1736;HollandsKroon
1738;Harenkarspel
1741;Schagen
1742;Schagen
1744;Harenkarspel
1746;Harenkarspel
1747;Harenkarspel
1749;Harenkarspel
1751;Zijpe
1752;Zijpe
1753;Zijpe
1754;Zijpe
1755;Zijpe
1756;Zijpe
1757;Zijpe
1759;Zijpe
1761;HollandsKroon
1764;HollandsKroon
1766;HollandsKroon
1767;HollandsKroon
1768;HollandsKroon
1769;HollandsKroon
1771;HollandsKroon
1773;HollandsKroon
1774;HollandsKroon
1775;HollandsKroon
1777;HollandsKroon
1778;HollandsKroon
1779;HollandsKroon
1781;Den Helder
1782;Den Helder
1783;Den Helder
1784;Den Helder
1785;Den Helder
1786;Den Helder
1787;Den Helder
1788;Den Helder
1789;Den Helder
1791;Texel
1792;Texel
1793;Texel
1794;Texel
1795;Texel
1796;Texel
1797;Texel
1811;Alkmaar
1812;Alkmaar
1813;Alkmaar
1814;Alkmaar
1815;Alkmaar
1816;Alkmaar
1817;Alkmaar
1821;Alkmaar
1822;Alkmaar
1823;Alkmaar
1824;Alkmaar
1825;Alkmaar
1826;Alkmaar
1827;Alkmaar
1829;Alkmaar
1831;Alkmaar
1832;Langedijk
1834;Langedijk
1841;Schermer
1842;Schermer
1843;Schermer
1844;Schermer
1846;Schermer
1847;Schermer
1851;Heiloo
1852;Heiloo
1861;Bergen(NH.)
1862;Bergen(NH.)
1865;Bergen(NH.)
1871;Bergen(NH.)
1873;Bergen(NH.)
1901;Castricum
1902;Castricum
1906;Castricum
1911;Uitgeest
1921;Castricum
1931;Bergen(NH.)
1934;Bergen(NH.)
1935;Bergen(NH.)
1941;Beverwijk
1942;Beverwijk
1943;Beverwijk
1944;Beverwijk
1945;Beverwijk
1946;Beverwijk
1947;Beverwijk
1948;Beverwijk
1949;Beverwijk
1951;Velsen
1961;Heemskerk
1962;Heemskerk
1963;Heemskerk
1964;Heemskerk
1965;Heemskerk
1966;Heemskerk
1967;Heemskerk
1968;Heemskerk
1969;Heemskerk
1971;Velsen
1972;Velsen
1973;Velsen
1974;Velsen
1975;Velsen
1976;Velsen
1981;Velsen
1985;Velsen
1991;Velsen
1992;Velsen
2011;Haarlem
2012;Haarlem
2013;Haarlem
2014;Haarlem
2015;Haarlem
2019;Haarlem
2021;Haarlem
2022;Haarlem
2023;Haarlem
2024;Haarlem
2025;Haarlem
2026;Haarlem
2031;Haarlem
2032;Haarlem
2033;Haarlem
2034;Haarlem
2035;Haarlem
2036;Haarlem
2037;Haarlem
2041;Zandvoort
2042;Zandvoort
2051;Bloemendaal
2061;Bloemendaal
2063;Haarlem
2064;HaarlemmerliedeenSpaarnwoude
2065;HaarlemmerliedeenSpaarnwoude
2071;Velsen
2082;Velsen
2101;Heemstede
2102;Heemstede
2103;Heemstede
2104;Heemstede
2105;Heemstede
2106;Heemstede
2111;Bloemendaal
2114;Bloemendaal
2116;Zandvoort
2121;Bloemendaal
2131;Haarlemmermeer
2132;Haarlemmermeer
2133;Haarlemmermeer
2134;Haarlemmermeer
2135;Haarlemmermeer
2136;Haarlemmermeer
2141;Haarlemmermeer
2142;Haarlemmermeer
2143;Haarlemmermeer
2144;Haarlemmermeer
2151;Haarlemmermeer
2152;Haarlemmermeer
2153;Haarlemmermeer
2154;Haarlemmermeer
2155;Haarlemmermeer
2156;Haarlemmermeer
2157;Haarlemmermeer
2158;Haarlemmermeer
2159;KaagenBraassem
2161;Lisse
2162;Lisse
2163;Lisse
2165;Haarlemmermeer
2171;Teylingen
2172;Teylingen
2181;Hillegom
2182;Hillegom
2191;Noordwijkerhout
2201;Noordwijk
2202;Noordwijk
2203;Noordwijk
2204;Noordwijk
2211;Noordwijkerhout
2215;Teylingen
2221;Katwijk
2222;Katwijk
2223;Katwijk
2224;Katwijk
2225;Katwijk
2231;Katwijk
2235;Katwijk
2241;Wassenaar
2242;Wassenaar
2243;Wassenaar
2244;Wassenaar
2245;Wassenaar
2251;Voorschoten
2252;Voorschoten
2253;Voorschoten
2254;Voorschoten
2261;Leidschendam-Voorburg
2262;Leidschendam-Voorburg
2263;Leidschendam-Voorburg
2264;Leidschendam-Voorburg
2265;Leidschendam-Voorburg
2266;Leidschendam-Voorburg
2267;Leidschendam-Voorburg
2271;Leidschendam-Voorburg
2272;Leidschendam-Voorburg
2273;Leidschendam-Voorburg
2274;Leidschendam-Voorburg
2275;Leidschendam-Voorburg
2281;Rijswijk
2282;Rijswijk
2283;Rijswijk
2284;Rijswijk
2285;Rijswijk
2286;Rijswijk
2287;Rijswijk
2288;Rijswijk
2289;Rijswijk
2291;Westland
2292;Westland
2295;Westland
2311;Leiden
2312;Leiden
2313;Leiden
2314;Leiden
2315;Leiden
2316;Leiden
2317;Leiden
2318;Leiden
2321;Leiden
2322;Leiden
2323;Leiden
2324;Leiden
2331;Leiden
2332;Leiden
2333;Leiden
2334;Leiden
2341;Oegstgeest
2342;Oegstgeest
2343;Oegstgeest
2351;Leiderdorp
2352;Leiderdorp
2353;Leiderdorp
2355;KaagenBraassem
2361;Teylingen
2362;Teylingen
2371;KaagenBraassem
2374;KaagenBraassem
2375;KaagenBraassem
2376;KaagenBraassem
2377;KaagenBraassem
2381;Zoeterwoude
2382;Zoeterwoude
2391;Rijnwoude
2394;Rijnwoude
2396;Rijnwoude
2401;AlphenaandenRijn
2402;AlphenaandenRijn
2403;AlphenaandenRijn
2404;AlphenaandenRijn
2405;AlphenaandenRijn
2406;AlphenaandenRijn
2407;AlphenaandenRijn
2408;AlphenaandenRijn
2409;AlphenaandenRijn
2411;Bodegraven-Reeuwijk
2412;Bodegraven-Reeuwijk
2415;Bodegraven-Reeuwijk
2421;Nieuwkoop
2431;Nieuwkoop
2432;Nieuwkoop
2435;Nieuwkoop
2441;Nieuwkoop
2445;AlphenaandenRijn
2451;KaagenBraassem
2461;Nieuwkoop
2465;KaagenBraassem
2471;AlphenaandenRijn
2481;KaagenBraassem
2491;'s-Gravenhage
2492;'s-Gravenhage
2493;'s-Gravenhage
2495;'s-Gravenhage
2496;'s-Gravenhage
2497;'s-Gravenhage
2498;'s-Gravenhage
2511;'s-Gravenhage
2512;'s-Gravenhage
2513;'s-Gravenhage
2514;'s-Gravenhage
2515;'s-Gravenhage
2516;'s-Gravenhage
2517;'s-Gravenhage
2518;'s-Gravenhage
2521;'s-Gravenhage
2522;'s-Gravenhage
2523;'s-Gravenhage
2524;'s-Gravenhage
2525;'s-Gravenhage
2526;'s-Gravenhage
2531;'s-Gravenhage
2532;'s-Gravenhage
2533;'s-Gravenhage
2541;'s-Gravenhage
2542;'s-Gravenhage
2543;'s-Gravenhage
2544;'s-Gravenhage
2545;'s-Gravenhage
2546;'s-Gravenhage
2547;'s-Gravenhage
2548;'s-Gravenhage
2551;'s-Gravenhage
2552;'s-Gravenhage
2553;'s-Gravenhage
2554;'s-Gravenhage
2555;'s-Gravenhage
2561;'s-Gravenhage
2562;'s-Gravenhage
2563;'s-Gravenhage
2564;'s-Gravenhage
2565;'s-Gravenhage
2566;'s-Gravenhage
2571;'s-Gravenhage
2572;'s-Gravenhage
2573;'s-Gravenhage
2574;'s-Gravenhage
2581;'s-Gravenhage
2582;'s-Gravenhage
2583;'s-Gravenhage
2584;'s-Gravenhage
2585;'s-Gravenhage
2586;'s-Gravenhage
2587;'s-Gravenhage
2591;'s-Gravenhage
2592;'s-Gravenhage
2593;'s-Gravenhage
2594;'s-Gravenhage
2595;'s-Gravenhage
2596;'s-Gravenhage
2597;'s-Gravenhage
2611;Delft
2612;Delft
2613;Delft
2614;Delft
2616;Delft
2622;Delft
2623;Delft
2624;Delft
2625;Delft
2626;Delft
2627;Delft
2628;Delft
2629;Delft
2631;Pijnacker-Nootdorp
2632;Pijnacker-Nootdorp
2635;Midden-Delfland
2636;Midden-Delfland
2641;Pijnacker-Nootdorp
2642;Pijnacker-Nootdorp
2643;Pijnacker-Nootdorp
2645;Pijnacker-Nootdorp
2651;Lansingerland
2652;Lansingerland
2661;Lansingerland
2662;Lansingerland
2665;Lansingerland
2671;Westland
2672;Westland
2673;Westland
2675;Westland
2676;Westland
2678;Westland
2681;Westland
2684;Westland
2685;Westland
2691;Westland
2692;Westland
2693;Westland
2694;Westland
2711;Zoetermeer
2712;Zoetermeer
2713;Zoetermeer
2715;Zoetermeer
2716;Zoetermeer
2717;Zoetermeer
2718;Zoetermeer
2719;Zoetermeer
2721;Zoetermeer
2722;Zoetermeer
2723;Zoetermeer
2724;Zoetermeer
2725;Zoetermeer
2726;Zoetermeer
2727;Zoetermeer
2728;Zoetermeer
2729;Zoetermeer
2731;Rijnwoude
2735;Zoeterwoude
2741;Waddinxveen
2742;Waddinxveen
2743;Waddinxveen
2751;Zuidplas
2752;Zuidplas
2761;Zuidplas
2771;Boskoop
2801;Gouda
2802;Gouda
2803;Gouda
2804;Gouda
2805;Gouda
2806;Gouda
2807;Gouda
2808;Gouda
2809;Gouda
2811;Bodegraven-Reeuwijk
2821;Vlist
2825;Bergambacht
2831;Ouderkerk
2841;Zuidplas
2851;Vlist
2855;Vlist
2861;Bergambacht
2865;Bergambacht
2871;Schoonhoven
2901;CapelleaandenIJssel
2902;CapelleaandenIJssel
2903;CapelleaandenIJssel
2904;CapelleaandenIJssel
2905;CapelleaandenIJssel
2906;CapelleaandenIJssel
2907;CapelleaandenIJssel
2908;CapelleaandenIJssel
2909;CapelleaandenIJssel
2911;Zuidplas
2912;Zuidplas
2913;Zuidplas
2914;Zuidplas
2921;KrimpenaandenIJssel
2922;KrimpenaandenIJssel
2923;KrimpenaandenIJssel
2924;KrimpenaandenIJssel
2925;KrimpenaandenIJssel
2926;KrimpenaandenIJssel
2931;Nederlek
2935;Ouderkerk
2941;Nederlek
2951;Alblasserdam
2952;Alblasserdam
2953;Alblasserdam
2954;Alblasserdam
2957;Nieuw-Lekkerland
2959;Liesveld
2961;Nieuw-Lekkerland
2964;Liesveld
2965;Liesveld
2967;Liesveld
2968;Liesveld
2969;Graafstroom
2971;Graafstroom
2973;Graafstroom
2974;Graafstroom
2975;Graafstroom
2977;Graafstroom
2981;Ridderkerk
2982;Ridderkerk
2983;Ridderkerk
2984;Ridderkerk
2985;Ridderkerk
2986;Ridderkerk
2987;Ridderkerk
2988;Ridderkerk
2989;Ridderkerk
2991;Barendrecht
2992;Barendrecht
2993;Barendrecht
2994;Barendrecht
2995;Zwijndrecht
3011;Rotterdam
3012;Rotterdam
3013;Rotterdam
3014;Rotterdam
3015;Rotterdam
3016;Rotterdam
3021;Rotterdam
3022;Rotterdam
3023;Rotterdam
3024;Rotterdam
3025;Rotterdam
3026;Rotterdam
3027;Rotterdam
3028;Rotterdam
3029;Rotterdam
3031;Rotterdam
3032;Rotterdam
3033;Rotterdam
3034;Rotterdam
3035;Rotterdam
3036;Rotterdam
3037;Rotterdam
3038;Rotterdam
3039;Rotterdam
3041;Rotterdam
3042;Rotterdam
3043;Rotterdam
3044;Rotterdam
3045;Rotterdam
3046;Rotterdam
3047;Rotterdam
3051;Rotterdam
3052;Rotterdam
3053;Rotterdam
3054;Rotterdam
3055;Rotterdam
3056;Rotterdam
3059;Rotterdam
3061;Rotterdam
3062;Rotterdam
3063;Rotterdam
3064;Rotterdam
3065;Rotterdam
3066;Rotterdam
3067;Rotterdam
3068;Rotterdam
3069;Rotterdam
3071;Rotterdam
3072;Rotterdam
3073;Rotterdam
3074;Rotterdam
3075;Rotterdam
3076;Rotterdam
3077;Rotterdam
3078;Rotterdam
3079;Rotterdam
3081;Rotterdam
3082;Rotterdam
3083;Rotterdam
3084;Rotterdam
3085;Rotterdam
3086;Rotterdam
3087;Rotterdam
3088;Rotterdam
3089;Rotterdam
3111;Schiedam
3112;Schiedam
3113;Schiedam
3114;Schiedam
3115;Schiedam
3116;Schiedam
3117;Schiedam
3118;Schiedam
3119;Schiedam
3121;Schiedam
3122;Schiedam
3123;Schiedam
3124;Schiedam
3125;Schiedam
3131;Vlaardingen
3132;Vlaardingen
3133;Vlaardingen
3134;Vlaardingen
3135;Vlaardingen
3136;Vlaardingen
3137;Vlaardingen
3138;Vlaardingen
3141;Maassluis
3142;Maassluis
3143;Maassluis
3144;Maassluis
3145;Maassluis
3146;Maassluis
3147;Maassluis
3151;Rotterdam
3155;Midden-Delfland
3161;Albrandswaard
3162;Albrandswaard
3171;Albrandswaard
3172;Albrandswaard
3176;Albrandswaard
3181;Rotterdam
3191;Rotterdam
3192;Rotterdam
3193;Rotterdam
3194;Rotterdam
3195;Rotterdam
3197;Rotterdam
3198;Rotterdam
3201;Spijkenisse
3202;Spijkenisse
3203;Spijkenisse
3204;Spijkenisse
3205;Spijkenisse
3206;Spijkenisse
3207;Spijkenisse
3208;Spijkenisse
3209;Spijkenisse
3211;Bernisse
3212;Bernisse
3214;Bernisse
3216;Bernisse
3218;Bernisse
3221;Hellevoetsluis
3222;Hellevoetsluis
3223;Hellevoetsluis
3224;Hellevoetsluis
3225;Hellevoetsluis
3227;Bernisse
3231;Brielle
3232;Brielle
3233;Westvoorne
3234;Westvoorne
3235;Westvoorne
3237;Brielle
3238;Brielle
3241;Middelharnis
3243;Middelharnis
3244;Middelharnis
3245;Middelharnis
3247;Dirksland
3248;Dirksland
3249;Dirksland
3251;Goedereede
3252;Goedereede
3253;Goedereede
3255;Oostflakkee
3256;Oostflakkee
3257;Oostflakkee
3258;Oostflakkee
3261;Oud-Beijerland
3262;Oud-Beijerland
3263;Oud-Beijerland
3264;Korendijk
3265;Korendijk
3267;Korendijk
3271;Binnenmaas
3273;Binnenmaas
3274;Binnenmaas
3281;Cromstrijen
3284;Korendijk
3286;Cromstrijen
3291;Strijen
3292;Strijen
3293;Strijen
3295;Binnenmaas
3297;Binnenmaas
3299;Binnenmaas
3311;Dordrecht
3312;Dordrecht
3313;Dordrecht
3314;Dordrecht
3315;Dordrecht
3316;Dordrecht
3317;Dordrecht
3318;Dordrecht
3319;Dordrecht
3328;Dordrecht
3329;Dordrecht
3331;Zwijndrecht
3332;Zwijndrecht
3333;Zwijndrecht
3334;Zwijndrecht
3335;Zwijndrecht
3336;Zwijndrecht
3341;Hendrik-Ido-Ambacht
3342;Hendrik-Ido-Ambacht
3343;Hendrik-Ido-Ambacht
3344;Hendrik-Ido-Ambacht
3351;Papendrecht
3352;Papendrecht
3353;Papendrecht
3354;Papendrecht
3355;Papendrecht
3356;Papendrecht
3361;Sliedrecht
3362;Sliedrecht
3363;Sliedrecht
3364;Sliedrecht
3366;Graafstroom
3371;Hardinxveld-Giessendam
3372;Hardinxveld-Giessendam
3373;Hardinxveld-Giessendam
3381;Giessenlanden
3401;IJsselstein
3402;IJsselstein
3403;IJsselstein
3404;IJsselstein
3405;Lopik
3411;Lopik
3412;Lopik
3413;Lopik
3415;Lopik
3417;Montfoort
3421;Oudewater
3425;Oudewater
3431;Nieuwegein
3432;Nieuwegein
3433;Nieuwegein
3434;Nieuwegein
3435;Nieuwegein
3436;Nieuwegein
3437;Nieuwegein
3438;Nieuwegein
3439;Nieuwegein
3441;Woerden
3442;Woerden
3443;Woerden
3444;Woerden
3445;Woerden
3446;Woerden
3447;Woerden
3448;Woerden
3449;Woerden
3451;Utrecht
3452;Utrecht
3453;Utrecht
3454;Utrecht
3455;Utrecht
3461;Montfoort
3464;Oudewater
3465;Bodegraven-Reeuwijk
3466;Bodegraven-Reeuwijk
3467;Oudewater
3471;Woerden
3474;Woerden
3481;Woerden
3511;Utrecht
3512;Utrecht
3513;Utrecht
3514;Utrecht
3515;Utrecht
3521;Utrecht
3522;Utrecht
3523;Utrecht
3524;Utrecht
3525;Utrecht
3526;Utrecht
3527;Utrecht
3528;Utrecht
3531;Utrecht
3532;Utrecht
3533;Utrecht
3534;Utrecht
3541;Utrecht
3542;Utrecht
3543;Utrecht
3544;Utrecht
3545;Utrecht
3546;Utrecht
3551;Utrecht
3552;Utrecht
3553;Utrecht
3554;Utrecht
3555;Utrecht
3561;Utrecht
3562;Utrecht
3563;Utrecht
3564;Utrecht
3565;Utrecht
3566;Utrecht
3571;Utrecht
3572;Utrecht
3573;Utrecht
3581;Utrecht
3582;Utrecht
3583;Utrecht
3584;Utrecht
3585;Utrecht
3601;StichtseVecht
3602;StichtseVecht
3603;StichtseVecht
3604;StichtseVecht
3605;StichtseVecht
3606;StichtseVecht
3607;StichtseVecht
3608;StichtseVecht
3611;StichtseVecht
3612;StichtseVecht
3615;DeBilt
3621;StichtseVecht
3625;Wijdemeren
3626;StichtseVecht
3628;StichtseVecht
3631;StichtseVecht
3632;StichtseVecht
3633;StichtseVecht
3634;StichtseVecht
3641;DeRondeVenen
3642;DeRondeVenen
3643;DeRondeVenen
3645;DeRondeVenen
3646;DeRondeVenen
3648;DeRondeVenen
3651;Nieuwkoop
3652;Nieuwkoop
3653;Nieuwkoop
3701;Zeist
3702;Zeist
3703;Zeist
3704;Zeist
3705;Zeist
3706;Zeist
3707;Zeist
3708;Zeist
3709;Zeist
3711;Zeist
3712;Zeist
3721;DeBilt
3722;DeBilt
3723;DeBilt
3731;DeBilt
3732;DeBilt
3734;Zeist
3735;Zeist
3737;DeBilt
3738;DeBilt
3739;DeBilt
3741;Baarn
3742;Baarn
3743;Baarn
3744;Baarn
3749;Baarn
3751;Bunschoten
3752;Bunschoten
3754;Bunschoten
3755;Eemnes
3761;Soest
3762;Soest
3763;Soest
3764;Soest
3765;Soest
3766;Soest
3768;Soest
3769;Soest
3771;Barneveld
3772;Barneveld
3773;Barneveld
3774;Barneveld
3775;Barneveld
3776;Barneveld
3781;Barneveld
3784;Barneveld
3785;Barneveld
3791;Leusden
3792;Barneveld
3794;Barneveld
3811;Amersfoort
3812;Amersfoort
3813;Amersfoort
3814;Amersfoort
3815;Amersfoort
3816;Amersfoort
3817;Amersfoort
3818;Amersfoort
3819;Amersfoort
3821;Amersfoort
3822;Amersfoort
3823;Amersfoort
3824;Amersfoort
3825;Amersfoort
3826;Amersfoort
3828;Amersfoort
3829;Amersfoort
3831;Leusden
3832;Leusden
3833;Leusden
3834;Leusden
3835;Leusden
3836;Amersfoort
3841;Harderwijk
3842;Harderwijk
3843;Harderwijk
3844;Harderwijk
3845;Harderwijk
3846;Harderwijk
3847;Harderwijk
3848;Harderwijk
3849;Harderwijk
3851;Ermelo
3852;Ermelo
3853;Ermelo
3861;Nijkerk
3862;Nijkerk
3863;Nijkerk
3864;Nijkerk
3871;Nijkerk
3881;Putten
3882;Putten
3886;Barneveld
3888;Apeldoorn
3891;Zeewolde
3892;Zeewolde
3893;Zeewolde
3894;Zeewolde
3896;Zeewolde
3897;Zeewolde
3898;Zeewolde
3899;Zeewolde
3901;Veenendaal
3902;Veenendaal
3903;Veenendaal
3904;Veenendaal
3905;Veenendaal
3906;Veenendaal
3907;Veenendaal
3911;Rhenen
3912;Rhenen
3921;Rhenen
3922;Rhenen
3925;Scherpenzeel
3927;Renswoude
3931;Woudenberg
3941;UtrechtseHeuvelrug
3945;WijkbijDuurstede
3947;WijkbijDuurstede
3951;UtrechtseHeuvelrug
3953;UtrechtseHeuvelrug
3956;UtrechtseHeuvelrug
3958;UtrechtseHeuvelrug
3959;UtrechtseHeuvelrug
3961;WijkbijDuurstede
3962;WijkbijDuurstede
3971;UtrechtseHeuvelrug
3972;UtrechtseHeuvelrug
3981;Bunnik
3984;Bunnik
3985;Bunnik
3989;Vianen
3991;Houten
3992;Houten
3993;Houten
3994;Houten
3995;Houten
3997;Houten
3998;Houten
3999;Houten
4001;Tiel
4002;Tiel
4003;Tiel
4004;Tiel
4005;Tiel
4006;Tiel
4007;Tiel
4011;Buren
4012;Buren
4013;Tiel
4014;Tiel
4016;Buren
4017;Tiel
4021;Buren
4023;Buren
4024;Buren
4031;Buren
4032;Buren
4033;Buren
4041;Neder-Betuwe
4043;Neder-Betuwe
4051;Neder-Betuwe
4053;Neder-Betuwe
4054;Neder-Betuwe
4061;Neerijnen
4062;Tiel
4063;Neerijnen
4064;Neerijnen
4101;Culemborg
4102;Culemborg
4103;Culemborg
4104;Culemborg
4105;Culemborg
4106;Culemborg
4107;Culemborg
4111;Buren
4112;Buren
4115;Buren
4116;Buren
4117;Buren
4119;Buren
4121;Vianen
4122;Vianen
4124;Vianen
4126;Zederik
4128;Zederik
4131;Vianen
4132;Vianen
4133;Vianen
4141;Leerdam
4142;Leerdam
4143;Leerdam
4145;Leerdam
4147;Lingewaal
4151;Geldermalsen
4152;Geldermalsen
4153;Geldermalsen
4155;Geldermalsen
4156;Geldermalsen
4157;Geldermalsen
4158;Geldermalsen
4161;Lingewaal
4163;Leerdam
4171;Lingewaal
4174;Neerijnen
4175;Neerijnen
4176;Neerijnen
4181;Neerijnen
4182;Neerijnen
4184;Neerijnen
4185;Neerijnen
4191;Geldermalsen
4194;Geldermalsen
4196;Geldermalsen
4197;Geldermalsen
4201;Gorinchem
4202;Gorinchem
4203;Gorinchem
4204;Gorinchem
4205;Gorinchem
4206;Gorinchem
4207;Gorinchem
4208;Gorinchem
4209;Giessenlanden
4211;Lingewaal
4212;Lingewaal
4213;Gorinchem
4214;Lingewaal
4221;Giessenlanden
4223;Giessenlanden
4225;Giessenlanden
4231;Zederik
4233;Zederik
4235;Zederik
4241;Giessenlanden
4243;Zederik
4245;Zederik
4247;Leerdam
4251;Werkendam
4254;Werkendam
4255;Werkendam
4261;Aalburg
4264;Aalburg
